title,link,square_meters,rooms,price,date,district
"NAZİF GAYRİMENKUL, DEN YÜZAKIN DA SATILIK DAİRE LÜX DAİRE",https://www.sahibinden.com/ilan/emlak-konut-satilik-nazif-gayrimenkul-den-yuzakin-da-satilik-daire-lux-daire-1128234304/detay,236,5+1,4250000,13 Ocak 2024,YeşilyurtMerkez
KINACI GAYRİMENKULDEN ÖZALPERDE SATILIK 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-kinaci-gayrimenkulden-ozalperde-satilik-3-plus1-daire-1142076925/detay,135,3+1,1570000,13 Ocak 2024,YeşilyurtMerkez
CEM EVİ LOKASYONUNDA SATILIK 4+1 LÜKS DAİRE...,https://www.sahibinden.com/ilan/emlak-konut-satilik-cem-evi-lokasyonunda-satilik-4-plus1-luks-daire-1147513391/detay,225,4+1,5150000,13 Ocak 2024,YeşilyurtMerkez
TURYAP'TAN BAŞHARIK TOKİ'DE 3+1 SATILIK DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-turyap-tan-basharik-toki-de-3-plus1-satilik-daire-1130360530/detay,128,3+1,2350000,13 Ocak 2024,BattalgaziMerkez
İSTASYON KÖMÜRTEVZİDE MÜKEMMEL SIFIR DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-istasyon-komurtevzide-mukemmel-sifir-daireler-1147925856/detay,85,2+1,1900000,15 Ocak 2024,YeşilyurtMerkez
ACİLLLL FIRSAT AZ KATLI 3+1,https://www.sahibinden.com/ilan/emlak-konut-satilik-acillll-firsat-az-katli-3-plus1-1147501385/detay,130,3+1,2140000,13 Ocak 2024,YeşilyurtMerkez
Acil! Daire Açık Otopark Var Bu Fiyata Yok! Ferah 3+1,https://www.sahibinden.com/ilan/emlak-konut-satilik-acil-daire-acik-otopark-var-bu-fiyata-sb2f-ferah-31-846759209/detay,210,3+1,2950000,15 Ocak 2024,BattalgaziMerkez
EMRE ALPAY'DAN YAKINCA'DA MUHTEŞEM KONUMDA 3+1 ARA KAT DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-emre-alpay-dan-yakinca-da-muhtesem-konumda-3-plus1-ara-kat-daire-1141972223/detay,165,3+1,1600000,13 Ocak 2024,YeşilyurtKöyler
TURYAP'TAN YAKINCA-YEŞİLYURT YOLU ÜZERİ 4+1 SATILIK DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-turyap-tan-yakinca-yesilyurt-yolu-uzeri-4-plus1-satilik-daire-1141613886/detay,220,4+1,1850000,14 Ocak 2024,YeşilyurtKöyler
EMRE ALPAY'DAN YÜZAKIN'DA MUHTEŞEM KONUMDA 4+1 ULTRA LÜKS DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-emre-alpay-dan-yuzakin-da-muhtesem-konumda-4-plus1-ultra-luks-daire-1142035067/detay,210,4+1,3200000,13 Ocak 2024,YeşilyurtMerkez
Satılık Daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-satilik-daire-1110524764/detay,165,3+1,1500000,13 Ocak 2024,BattalgaziMerkez
EMEK'ten BAŞHARIK'ta 2+1 ARAkat HASARSIZ 3YAŞ ARAÇ TAKASLI,https://www.sahibinden.com/ilan/emlak-konut-satilik-emek-ten-basharik-ta-2-plus1-arakat-hasarsiz-3yas-arac-takasli-1120374246/detay,125,2+1,1625000,06 Ocak 2024,BattalgaziMerkez
AŞAGI ÇÖŞNÜK YEŞİLÇAM CAD. ÜZERİ KAT SEÇENEKLİ SATILIK DAİRE'LER,https://www.sahibinden.com/ilan/emlak-konut-satilik-asagi-cosnuk-yesilcam-cad-uzeri-kat-secenekli-satilik-daire-ler-1122661039/detay,250,4+1,4200000,13 Ocak 2024,BattalgaziMerkez
TURYAP METROPOL'DEN BAŞHARIK'DA 1+1 SATILIK DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-turyap-metropol-den-basharik-da-1-plus1-satilik-daire-1147681089/detay,65,1+1,1250000,14 Ocak 2024,BattalgaziMerkez
MAHMUT BALTACIDAN SİTE İÇİNDE SAĞLAM YAPILI DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-site-icinde-saglam-yapili-daire-1118019197/detay,210,4+1,2950000,13 Ocak 2024,Yeşilyurt
MAHMUT BALTACIDAN TAM DONANIMLI SİTE İÇİNDE LÜX DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-tam-donanimli-site-icinde-lux-daireler-1105448753/detay,265,4+1,4000000,13 Ocak 2024,BattalgaziMerkez
KANALBOYU EMLAK'TAN 3.5+1 PAŞAKÖŞKÜN'DE 180 M2 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-kanalboyu-emlak-tan-3.5-plus1-pasakoskun-de-180-m2-daire-1129265591/detay,200,3+1,1800000,13 Ocak 2024,BattalgaziMerkez
HASARSIZ ATAKÖY MAH CADDE SATLIK DAIRE HASARSIZ YENI BINA,https://www.sahibinden.com/ilan/emlak-konut-satilik-hasarsiz-atakoy-mah-cadde-satlik-daire-hasarsiz-yeni-bina-1059031981/detay,169,3+1,2500000,13 Ocak 2024,BattalgaziMerkez
KINACI GAYRİMENKULDEN ÇÖŞNÜKTE SATILIK 4+1 LÜX DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-kinaci-gayrimenkulden-cosnukte-satilik-4-plus1-lux-daire-1142078039/detay,270,4+1,5000000,12 Ocak 2024,BattalgaziMerkez
TURYAP METROPOL'DEN ÇAVUŞOĞLUN'DA SIFIR 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-turyap-metropol-den-cavusoglun-da-sifir-3-plus1-daire-1142049028/detay,155,3+1,1875000,12 Ocak 2024,YeşilyurtMerkez
SAHİBİNDEN SATILIK LÜKS DAİRE Son 5 Gün,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-satilik-luks-daire-son-5-gun-1147389268/detay,135,3+1,2500000,12 Ocak 2024,BattalgaziMerkez
Full+ full 2+1 Geniş daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-full-plus-full-2-plus1-genis-daire-1141649623/detay,130,2+1,2050000,12 Ocak 2024,BattalgaziMerkez
HASAN VAROL DA ACİL SATILIK DAİRE BU FİYATA YOK!!!!!!!!,https://www.sahibinden.com/ilan/emlak-konut-satilik-hasan-varol-da-acil-satilik-daire-bu-fiyata-yok-1140898271/detay,165,3+1,1950000,12 Ocak 2024,BattalgaziMerkez
TURYAP'TAN MALATYA PARK RESİDENCE SATILIK 2+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-turyap-tan-malatya-park-residence-satilik-2-plus1-daire-1147378676/detay,112,2+1,5900000,12 Ocak 2024,YeşilyurtMerkez
EMRAH ÖZTÜRKMENDEN YAVUZ SELİN TOKİDE 3+1 SON KAT,https://www.sahibinden.com/ilan/emlak-konut-satilik-emrah-ozturkmenden-yavuz-selin-tokide-3-plus1-son-kat-1147742232/detay,135,3+1,1390000,14 Ocak 2024,YeşilyurtMerkez
RE/MAK GÜNEŞ'TEN SATILIK 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-re-mak-gunes-ten-satilik-3-plus1-daire-1147350132/detay,150,3+1,2800000,12 Ocak 2024,BattalgaziMerkez
Konut Yüksek Giriş Fiyat Düştü! 1+1 Geniş Emsalsiz Konumda Var,https://www.sahibinden.com/ilan/emlak-konut-satilik-konut-yuksek-giris-fiyat-dustu-11-genis-emsalsiz-sb2f-var-846858854/detay,65,1+1,2500000,13 Ocak 2024,YeşilyurtKöyler
FURKAN KELEŞ'TEN CENGİZ TOPEL'DE LÜKS YAPILI 4+2 DUBLEKS DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-furkan-keles-ten-cengiz-topel-de-luks-yapili-4-plus2-dubleks-daire-1130866975/detay,370,4+2,2500000,13 Ocak 2024,BattalgaziMerkez
MAHMUT BALTACIDAN TECDEDE SATILIK MEGA LÜX DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-tecdede-satilik-mega-lux-daire-1144911052/detay,243,4+1,4700000,13 Ocak 2024,YeşilyurtMerkez
SAHİBİNDEN SATILIK,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-satilik-1109187453/detay,125,2+1,1975000,12 Ocak 2024,YeşilyurtMerkez
Anemon otel yanı güvenlikli sitede 3+1 lüx daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-anemon-otel-yani-guvenlikli-sitede-3-plus1-lux-daire-1121850009/detay,196,3+1,3150000,12 Ocak 2024,YeşilyurtKöyler
SADIKBEY GAYRİMENKUL BASHARIK TOKİ SATLIK 3+1 ARA KAT DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-sadikbey-gayrimenkul-basharik-toki-satlik-3-plus1-ara-kat-daire-1144754246/detay,145,3+1,2350000,12 Ocak 2024,BattalgaziMerkez
"MÜSTAKİL EV, BAHCE TAKASI OLUR",https://www.sahibinden.com/ilan/emlak-konut-satilik-mustakil-ev-bahce-takasi-olur-1097003787/detay,75,1+1,1250000,12 Ocak 2024,BattalgaziMerkez
Çöşnük te 5+2 Dubleks Daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-cosnuk-te-5-plus2-dubleks-daire-1107099801/detay,300,5+2,3100000,12 Ocak 2024,BattalgaziMerkez
REMAX GÜNEŞ'TEN HASAN VAROLDA SATILIK 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-remax-gunes-ten-hasan-varolda-satilik-3-plus1-daire-1129942629/detay,145,3+1,1750000,12 Ocak 2024,BattalgaziMerkez
FURKAN KELEŞTEN DG TOKİ KONUTLARINDA 3+1 FULL YAPILI DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-furkan-kelesten-dg-toki-konutlarinda-3-plus1-full-yapili-daire-1129522282/detay,147,3+1,1415000,12 Ocak 2024,BattalgaziMerkez
EMRE ALPAY'DAN TOKİ'DE MUHTEŞEM KONUMDA 2+1 FIRSAT DAİRESİ,https://www.sahibinden.com/ilan/emlak-konut-satilik-emre-alpay-dan-toki-de-muhtesem-konumda-2-plus1-firsat-dairesi-1144743931/detay,105,2+1,1100000,12 Ocak 2024,YeşilyurtMerkez
ÇOK ACİL SATILIK TOKİ DAİRESİ,https://www.sahibinden.com/ilan/emlak-konut-satilik-cok-acil-satilik-toki-dairesi-1130946143/detay,95,2+1,1399000,12 Ocak 2024,BattalgaziMerkez
